I,O,M1,M2
25,10,-0.2540655703139761,0.4058657538349052
25,11,-0.25604696218309136,0.4077193139705292
25,12,-0.25822010165244363,0.4090615471721879
25,13,-0.26039324112179585,0.41014811690686404
25,14,-0.2623107171241655,0.41180992944225103
25,15,-0.26518693112771996,0.41334391024414674
25,16,-0.2672322388635809,0.4144943958455685
25,17,-0.2698527894001527,0.41558096558024465
25,18,-0.2723455082032332,0.417178862248886
25,19,-0.2750299746065507,0.41839326371705343
25,20,-0.2777144410098682,0.41922416998474693
25,21,-0.28033499154644004,0.4197354969187122
25,22,-0.2831472896832488,0.420694234919897
25,23,-0.2861513354202946,0.42114164598711656
25,24,-0.2894749604910686,0.4217808046545731
25,25,-0.29279858556184263,0.42203646812155576
25,26,-0.296058294765871,0.422356047455284
25,27,-0.2998293309038646,0.422547795055521
25,28,-0.3036003670418582,0.42286737438924926
25,29,-0.30769098251358007,0.4229312902559949
25,30,-0.31139810278482805,0.4230591219894862
25,31,-0.31542480238980425,0.4230591219894862
25,32,-0.3194515019947805,0.42299520612274055
25,33,-0.3233503698662654,0.42286737438924926
25,34,-0.3276966488049699,0.42248387918877534
25,35,-0.33197901187692874,0.42216429985504705
25,36,-0.3363252908156332,0.4212694777206079
25,37,-0.34111898082155734,0.4205664031864057
25,38,-0.34584875496073575,0.41947983345172957
25,39,-0.35006720216594894,0.4189045906510187
25,40,-0.354860892171873,0.41813760025007085
25,41,-0.35997416151152534,0.41813760025007085
25,42,-0.3648317673841951,0.417370609849123
25,43,-0.3698811208571018,0.417370609849123
25,44,-0.375761380597702,0.41711494638214036
25,45,-0.3809385658041,0.4168592829151577
25,46,-0.3864992462109719,0.41673145118166643
25,47,-0.3918681790176069,0.41673145118166643
25,48,-0.3974288594244788,0.4167953670484121
25,49,-0.4029895398313507,0.417178862248886
25,50,-0.4088058837052053,0.41794585264983386
25,51,-0.41462222757905987,0.4185210954505448
25,52,-0.42050248731966006,0.41864892718403607
25,53,-0.4264466629270059,0.4194159175849839
25,54,-0.43239083853435173,0.4204385714529144
25,55,-0.43884634107566284,0.42120556185386226
25,56,-0.4449183484165,0.4219086363880644
25,57,-0.4513738509578111,0.4232508695897232
25,58,-0.45731802656515697,0.4245931027913819
25,59,-0.4631343704390115,0.42567967252605804
25,60,-0.46907854604635735,0.4275971485284277
25,61,-0.47463922645322926,0.42925896106381467
25,62,-0.4805194861938295,0.4309207735992017
25,63,-0.4859523348672101,0.4325186702678431
25,64,-0.4912573518070994,0.43437223040346706
25,65,-0.49662628461373437,0.43603404293885406
25,66,-0.5018034698201324,0.43897417280915413
25,67,-0.5069167391597847,0.44121122814525204
25,68,-0.5124774195666567,0.44306478828087603
25,69,-0.517398941306072,0.4452379277502283
25,70,-0.5222565471787418,0.44779456242005444
25,71,-0.5274976482518854,0.4504151129566263
25,72,-0.5322274223910639,0.4530356634931981
25,73,-0.5359984585290575,0.4553366346960417
25,74,-0.5406643168014902,0.4583406804330874
25,75,-0.545138427473686,0.46115297856989623
25,76,-0.5493568746788993,0.46364569737297673
25,77,-0.5535753218841124,0.46658582724327685
25,78,-0.5578576849560712,0.47061252684825305
25,79,-0.5619483004277931,0.4737444043187901
25,80,-0.5658471682992781,0.47732369285654674
25,81,-0.5698099520375086,0.4814782241950143
25,82,-0.5735809881755022,0.48461010166555135
25,83,-0.5772881084467502,0.48799764260307105
25,84,-0.5808673969845068,0.49234392154177553
25,85,-0.5843827696555178,0.49592321007953216
25,86,-0.5878342264597831,0.4999499096845084
25,87,-0.5909661039303202,0.5050631790241608
25,88,-0.5940979814008572,0.5088981310289
25,89,-0.59729377473814,0.5125413354334023
25,90,-0.600617399808914,0.517782436506546
25,91,-0.6033657820789772,0.5219369678450135
25,92,-0.6060502484822946,0.5266667419841919
25,93,-0.6086068831521209,0.5317160954570986
25,94,-0.6115470130224209,0.5352953839948553
25,95,-0.6137840683585188,0.5409838961352185
25,96,-0.616148955428108,0.5450745116069404
25,97,-0.6185138424976973,0.550315612680084
25,98,-0.6204952343668125,0.5557484613534647
25,99,-0.6228601214364018,0.5609895624266084
25,100,-0.6246497657052801,0.5657832524325324
25,101,-0.6266950734411411,0.5714717645728956
25,102,-0.6285486335767649,0.5762654545788197
25,103,-0.6303382778456433,0.5809952287179981
25,104,-0.6319361745142846,0.5858528345906678
25,105,-0.6334062394494347,0.5903269452628637
25,106,-0.6348123885178392,0.5951206352687878
25,107,-0.6364102851864805,0.5992112507405096
25,108,-0.6376886025213936,0.6035575296792142
25,109,-0.638903003989561,0.6082233879516469
25,110,-0.6398617419907459,0.6121222558231318
25,111,-0.6406926482584393,0.6164046188950907
25,112,-0.6414596386593872,0.6208148137005408
25,113,-0.6421627131935894,0.6245858498385344
25,114,-0.6430575353280286,0.6282929701097824
25,115,-0.6433771146617568,0.6314887634470651
25,116,-0.643888441595722,0.6354515471852956
25,117,-0.6441441050627047,0.6388390881228153
25,118,-0.6443997685296873,0.6419709655933524
25,119,-0.6445915161299243,0.6456141699978547
